YEAR,game_id,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM_1,SEED_1,ROUND,CURRENT ROUND,SCORE_1,BY YEAR NO_2,BY ROUND NO_2,TEAM NO_2,TEAM_2,SEED_2,ROUND_2,CURRENT ROUND_2,SCORE_2,SEED_DIFF,UPSET_LABEL,TR_RANK_1,TR_RATING_1,SOS_RANK_1,LUCK_RANK_1,TR_RANK_2,TR_RATING_2,SOS_RANK_2,LUCK_RANK_2,CLOSE_TWOS_FG_1,THREES_FG_1,CLOSE_TWOS_FG_2,THREES_FG_2,PICKED_1,PICKED_2,KP_OFF_1,KP_DEF_1,KP_NET_1,BARTHAG_1,KP_OFF_2,KP_DEF_2,KP_NET_2,BARTHAG_2
2008,1,126,1136,31,North Carolina,1,4,64,113.0,125,1135,32,Mount St. Mary's,16,64,64,74.0,-15,0,2,29.5,6,38,194,5.0,260,227,,,,,,,120.686,92.5415,28.1446,0.957,99.0167,100.058,-1.04085,0.448
2008,2,121,1131,48,George Mason,12,64,64,50.0,119,1129,3,Winthrop,13,64,64,40.0,-1,0,87,13.9,146,269,81,14.2,120,261,,,,,,,111.486,101.207,10.2781,0.76,99.6932,92.3864,7.30673,0.709
2008,3,117,1127,23,Saint Joseph's,11,64,64,64.0,115,1125,59,Boise St.,14,64,64,61.0,-3,0,53,16.8,69,252,122,10.8,165,8,,,,,,,114.718,100.152,14.5658,0.833,108.605,104.484,4.12039,0.598
2008,4,113,1123,19,South Alabama,10,64,64,61.0,111,1121,65,American,15,64,64,57.0,-5,0,74,14.8,150,76,169,6.6,237,54,,,,,,,112.779,100.155,12.6239,0.795,108.308,106.622,1.686,0.514
2008,5,109,1119,25,Portland St.,16,64,64,61.0,107,1117,41,Kent St.,9,64,64,58.0,7,1,110,11.4,167,91,66,15.6,102,4,,,,,,,108.411,102.574,5.83665,0.596,108.462,94.6345,13.8274,0.809
2008,6,106,1116,55,Clemson,5,64,64,69.0,104,1114,8,Vanderbilt,4,64,64,62.0,1,1,14,23.3,13,219,45,17.7,61,6,,,,,,,114.102,91.7372,22.3653,0.932,112.598,99.0821,13.5159,0.83
2008,7,102,1112,10,USC,6,64,64,67.0,99,1109,56,Cal St. Fullerton,14,64,64,56.0,-8,0,28,20.7,7,97,80,14.3,158,221,,,,,,,110.663,90.6973,19.9654,0.9,112.978,104.103,8.87459,0.682
2008,8,98,1108,45,Gonzaga,7,64,64,76.0,95,1105,12,UMBC,15,64,64,47.0,-8,0,17,22.4,48,243,139,9.2,227,40,,,,,,,114.221,94.8911,19.3301,0.9,113.762,109.662,4.10027,0.578
2008,9,93,1103,9,UT Arlington,16,64,64,63.0,91,1101,27,Oregon,9,64,64,69.0,7,1,163,7.1,242,102,35,19.0,14,205,,,,,,,101.14,103.138,-1.99751,0.44,119.29,102.634,16.6554,0.852
2008,10,89,1099,17,Temple,12,64,64,61.0,87,1097,28,Oral Roberts,13,64,64,63.0,-1,0,72,14.9,77,120,63,15.9,101,96,,,,,,,112.696,100.26,12.4365,0.785,104.822,93.6893,11.1323,0.763
2008,11,85,1095,40,Kentucky,11,64,64,66.0,83,1093,52,Cornell,14,64,64,53.0,-3,0,68,15.6,46,99,128,10.1,252,52,,,,,,,106.849,97.1469,9.70175,0.784,110.651,105.607,5.04434,0.602
2008,12,81,1091,22,Saint Mary's,10,64,64,64.0,79,1089,62,Austin Peay,15,64,64,54.0,-5,0,34,19.3,93,167,159,7.6,230,16,,,,,,,110.005,94.2943,15.7105,0.856,104.504,104.677,-0.1731,0.472
2008,13,77,1087,33,Mississippi Valley St.,16,64,64,29.0,76,1086,57,BYU,8,64,64,62.0,8,1,310,-4.5,335,41,31,19.5,71,93,,,,,,,92.1127,107.08,-14.9674,0.141,106.852,90.7846,16.0675,0.864
2008,14,74,1084,50,Drake,5,64,64,99.0,72,1082,54,Connecticut,4,64,64,69.0,1,1,26,21.4,66,29,23,21.7,23,98,,,,,,,119.786,97.4463,22.3393,0.912,115.173,96.0511,19.1215,0.901
2008,15,69,1079,61,Baylor,11,64,64,79.0,67,1077,46,Georgia,14,64,64,61.0,-3,0,40,18.3,36,81,89,13.6,51,152,,,,,,,115.389,100.017,15.3717,0.855,104.018,96.1227,7.89531,0.723
2008,16,65,1075,64,Arizona,10,64,64,65.0,63,1073,60,Belmont,15,64,64,70.0,-5,0,27,21.3,5,306,138,9.2,229,26,,,,,,,116.577,96.3494,20.2271,0.904,109.436,106.857,2.57916,0.514
2009,1,252,1200,107,Louisville,1,8,64,74.0,251,1199,97,Morehead St.,16,64,64,54.0,-15,0,7,26.2,7,94,155,7.6,177,177,,,,,,,109.217,83.849,25.3676,0.953,102.308,102.325,-0.01708,0.435
2009,2,248,1196,75,Utah,5,64,64,71.0,246,1194,71,Wake Forest,4,64,64,69.0,1,1,33,19.3,51,141,13,22.9,16,68,,,,,,,110.948,91.91,19.0381,0.885,111.358,91.0587,20.299,0.911
2009,3,244,1192,69,West Virginia,6,64,64,60.0,241,1189,94,North Dakota St.,14,64,64,74.0,-8,0,9,25.3,1,333,57,16.5,134,158,,,,,,,114.693,89.6619,25.031,0.944,113.637,101.211,12.4256,0.759
2009,4,240,1188,124,Boston College,7,64,64,55.0,237,1185,85,Robert Morris,15,64,64,62.0,-8,0,62,16.1,48,26,156,7.6,273,96,,,,,,,113.378,101.263,12.1159,0.805,101.428,99.9183,1.5095,0.549
